oncology,mRNA,dna
1,1.72,0.23
1,3.238792315,1.25
1,8.206721623,2.53
1,16.59609121,2.62
1,125.7907419,4.29
1,36.02916931,4.4
1,293.3836398,4.71
1,482.7,4.77
1,13.94166138,5.21
1,10.58631922,5.48
1,6.117069373,8.9
1,20.72542803,12.69
1,0.93,19.89
1,2.74661698,20.25
1,6.166514181,20.36
1,23.60692871,23.51
1,12.48714686,30.28
1,11.90880288,30.85
1,12.00532978,55.24
1,17.41505663,55.32
1,4.256723509,55.35
1,57.95180723,71.75
1,1882.371592,75.12
1,21.17814684,100.35
1,64.67752443,128.59
1,66.33550489,358.65
1,1918.710209,363.68
1,2.29,376.41
1,5.71,405.5
1,165.6303751,455.65
1,44.25871909,523.49
1,279.995114,550.26
1,10.63,853.1
1,5.597970831,854.06
1,238.8215919,856.24
1,37.50412175,939.95
1,539.01,1084.25
1,26.28535193,1125.58
1,57.09955612,1132.64
1,1346.86747,1152.84
1,20.24984147,1209.08
1,202.1558961,1236.26
1,203.3709575,1375.94
1,490.7166124,1550.25
1,389.8604946,1588.27
1,360.5085606,1682.52
1,298.5609594,2025.63
1,2128.692182,2035.62
1,208.994293,2317.04
0,88.07275804,0.23
0,0.620981387,0.24
0,0.653130288,0.26
0,0.732899023,0.34
0,0.78,0.36
0,3.599348534,0.65
0,24.67005076,1.61
0,1.06,3.38
0,0.87,3.75
0,0.835504886,5.22
0,0.929967427,7.83
0,0.85,8.23
0,8.435498628,10.25
0,6.9,10.78
0,0.77,11.68
0,18.04060914,21.17
0,134.8612521,22.47
0,0.581827437,29.85
0,28.11889251,30.22
0,3.431472081,40.36
0,0.96,49.7
0,0.41,60.33
0,3.881556684,66.46
0,20.26226734,69.38
0,39.18781726,71.4
0,58.59052453,80.41
0,148.319797,88.92
0,13.89,157.48
0,20.70896785,163.02
0,11.88324873,175.87
0,0.52,182.28
0,1.93,232.17
0,35.37394247,251.88
0,315.3062606,265.82
0,7.33,266
0,53.53976311,293.42
0,2.41,339.88
0,35.1928934,360.1
0,1012.309645,403.39
0,11.01861252,407.82
0,7.52,438.78
0,412.1387479,465.02
0,19.18,471.82
0,3.33,479.63
0,87.61590525,606.69
0,12.96446701,667.24
0,41.53130288,739.04
0,18.5,788.44
0,141.7749577,806.1
0,91.32656514,842.67
0,3.67,849.66
