a,b,s,time,y
1,1,1,2,0.64
1,1,2,2,1.103
1,1,3,2,2.795
1,1,4,2,1.133
1,2,1,2,2.585
1,2,2,2,2.807
1,2,3,2,2.709
1,2,4,2,2.034
2,1,1,2,1.649
2,1,2,2,2.522
2,1,3,2,1.658
2,1,4,2,0.848
2,2,1,2,3.001
2,2,2,2,3.383
2,2,3,2,1.621
2,2,4,2,1.586
1,1,1,4,1.439
1,1,2,4,2.195
1,1,3,4,5.617
1,1,4,4,1.749
1,2,1,4,3.868
1,2,2,4,5.569
1,2,3,4,5.729
1,2,4,4,4.167
2,1,1,4,3.83
2,1,2,4,3.939
2,1,3,4,4.612
2,1,4,4,2.04
2,2,1,4,4.587
2,2,2,4,5.438
2,2,3,4,3.625
2,2,4,4,1.673
1,1,1,6,2.58
1,1,2,6,3.546
1,1,3,6,7.831
1,1,4,6,1.723
1,2,1,6,5.555
1,2,2,6,8.176
1,2,3,6,6.263
1,2,4,6,7.524
2,1,1,6,4.65
2,1,2,6,6.07
2,1,3,6,5.903
2,1,4,6,2.371
2,2,1,6,4.911
2,2,2,6,6.636
2,2,3,6,7.712
2,2,4,6,2.291
1,1,1,8,3.667
1,1,2,8,4.028
1,1,3,8,10.304
1,1,4,8,2.528
1,2,1,8,7.101
1,2,2,8,10.79
1,2,3,8,11.486
1,2,4,8,12.479
2,1,1,8,7.653
2,1,2,8,8.91
2,1,3,8,11.295
2,1,4,8,5
2,2,1,8,11.293
2,2,2,8,16.65
2,2,3,8,11.164
2,2,4,8,4.937
1,1,1,10,6.353
1,1,2,10,5.592
1,1,3,10,19.518
1,1,4,10,3.199
1,2,1,10,10.618
1,2,2,10,16.771
1,2,3,10,16.455
1,2,4,10,13.222
2,1,1,10,9.62
2,1,2,10,16.25
2,1,3,10,13.409
2,1,4,10,8.976
2,2,1,10,15.138
2,2,2,10,22.396
2,2,3,10,17.063
2,2,4,10,8.429
