x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
0.7728,18.8701,0,0.7695,0,44.9435,0,16.5758,0,0,7.6919,2.12,4.9656,3.0461,0,0
0.8642,19.9263,0,0.8119,0.7419,45.9775,0,13.608,0,0,8.5596,1.53,5.0254,1.3041,0,0
0.8243,21.0977,0,0.4241,0.7293,45.1447,0,15.6668,0,0,7.5724,1.83,4.2709,1.4724,0,0
0.9229,20.0757,0,0.7015,0.7018,44.3025,0,15.9571,0,0,7.8116,1.96,4.109,1.6377,0,0
0.8873,20.7261,0,0.4812,0.8167,45.7282,0,14.6814,0,0,7.9308,1.92,4.2299,1.5044,0,0
0.6894,10.1021,0.8601,2.8247,0,11.0901,2.2253,14.7233,1.2605,1.6238,29.8684,1.45,16.0572,4.6744,1.5475,0.9376
0.6287,17.4562,0,0.8787,0,51.1227,0,16.6821,0,0,6.7399,1.3,3.6787,1.089,0,0
1.7146,21.0712,1.2745,6.9323,0,11.9821,0,14.2464,0.8387,1.1903,22.3226,1.04,11.1513,3.2862,1.054,0.6633
0.844,20.7948,0,0.5289,0.7024,42.4289,0,17.1255,0,0,8.5508,1.92,4.6346,1.3074,0,0
0.9797,23.4313,0,0.4778,0.789,43.9119,0,14.5129,0,0,7.4513,1.75,4.0373,1.4142,0,0
0.9811,23.5269,0,0.4989,0.8375,42.3814,0,14.8207,0,0,7.58,1.86,3.9729,1.3863,0,0
1.056,17.4586,1.0481,1.1591,0.6113,15.8986,2.1618,13.166,1.1251,1.2887,23.9812,1.53,11.7911,3.5647,1.2011,0.7989
0.3342,10.9218,0,0.9379,0,30.5689,0,16.1205,0.8614,0.935,20.0491,2.46,10.9263,2.9423,0.968,0.5866
1.3816,15.9731,1.027,1.2106,0.5663,20.0942,2.1881,11.7304,1.1318,1.337,23.1882,1.38,11.7141,3.5635,1.1838,0.7657
1.3435,23.1294,1.2489,0.8939,0,12.3388,2.0595,12.1598,1.1842,1.3267,23.9904,1.15,11.9333,3.6034,1.1375,0.711
2.3861,19.7456,0,0.9093,0.3389,68.8572,0,4.9522,0,0,0,1.64,0,0,0,0
1.618,23.5786,0,2.6597,0,12.311,0,14.0923,0.8883,1.2167,23.3105,1.3,11.7462,3.4875,1.1042,0.6779
1.0469,23.6999,0,0.7698,0.7172,49.0165,0,12.1561,0,0,5.5289,2.25,2.885,0.9707,0,0
0.7539,13.0284,0,2.2978,0.8085,30.6336,0,10.4001,0.8754,1.4161,20.6589,2.47,10.299,2.9556,0.9522,0.6328
1.3813,23.0962,0,1.7688,0,21.88,0,14.6781,0.7285,0.9902,18,5709,1.5253,9.5387,2.8917,1.0169
0.4162,8.6635,0,1.4322,0.6001,28.0838,0,13.7243,1.0979,1.5293,22.6316,2.63,12.3223,3.4616,1.12,0.7169
2.0717,21.1906,0,1.1577,0.6255,66.8966,0,5.6805,0,0,0,1.66,0,0,0,0
1.0133,17.2585,0,1.1623,0.6673,19.7117,0,14.8122,1.0789,1.3638,23.0015,1.77,11.4394,3.3958,1.0658,0.6366
0.3346,7.0428,0,1.1386,0.5445,27.0624,0,14.2519,1.165,1.498,23.8449,2.52,13.2688,3.6558,1.1239,0.7382
