Age,KM,Weight,HP,MetColor,CC,Doors,Price
23,46986,1165,90,1,2000,3,13500
23,72937,1165,90,1,2000,3,13750
24,41711,1165,90,1,2000,3,13950
26,48000,1165,90,0,2000,3,14950
30,38500,1170,90,0,2000,3,13750
32,61000,1170,90,0,2000,3,12950
27,94612,1245,90,1,2000,3,16900
30,75889,1245,90,1,2000,3,18600
27,19700,1185,192,0,1800,3,21500
23,71138,1105,69,0,1900,3,12950
25,31461,1185,192,0,1800,3,20950
22,43610,1185,192,0,1800,3,19950
25,32189,1185,192,0,1800,3,19600
31,23000,1185,192,1,1800,3,21500
32,34131,1185,192,1,1800,3,22500
28,18739,1185,192,0,1800,3,22000
30,34000,1185,192,1,1800,3,22750
24,21716,1105,110,1,1600,3,17950
24,25563,1065,110,0,1600,3,16750
30,64359,1105,110,1,1600,3,16950
30,67660,1105,110,1,1600,3,15950
29,43905,1170,110,0,1600,3,16950
28,56349,1120,110,1,1600,3,15950
28,32220,1120,110,1,1600,3,16950
29,25813,1120,110,1,1600,3,16250
25,28450,1120,110,1,1600,3,15950
27,34545,1120,110,1,1600,3,17495
29,41415,1120,110,1,1600,3,15750
28,44142,1120,110,0,1600,3,16950
30,11090,1120,110,1,1600,3,17950
29,9750,1100,97,1,1400,3,12950
22,35199,1100,97,1,1400,3,15750
27,29510,1100,97,1,1400,3,15950
26,32692,1100,97,1,1400,3,14950
22,41000,1100,97,1,1400,3,15500
26,43000,1100,97,0,1400,3,15750
25,25000,1100,97,0,1400,3,15950
23,10000,1100,97,1,1400,3,14950
61,25329,1100,97,1,1400,3,15750
27,27500,1100,97,0,1400,3,14750
22,49059,1100,97,0,1400,3,13950
27,44068,1100,97,1,1400,3,16750
22,46961,1100,97,0,1400,3,13950
27,110404,1255,90,0,2000,5,16950
22,100250,1255,90,0,2000,5,16950
23,84000,1270,90,0,2000,5,19000
27,79375,1255,90,1,2000,5,17950
22,75048,1110,97,1,1400,5,15800
22,72215,1255,90,1,2000,5,17950
31,64982,1195,192,1,1800,5,21950
